-0.159,-0.493,1.000
-0.306,-0.048,0.750
0.014,0.070,0.250
-0.056,0.021,0.250
0.046,-0.305,0.750
-0.346,0.748,1.000
-0.259,-0.340,0.750
0.318,-0.140,0.750
0.162,0.018,0.500
0.111,0.200,0.500
-0.078,0.139,0.500
-0.209,-0.064,0.500
-0.142,-0.633,1.000
0.200,-0.055,0.500
0.217,-0.258,0.750
-0.296,0.075,0.750
0.277,-0.349,1.000
0.290,0.001,0.750
0.227,-0.128,0.750
0.362,0.299,1.000
0.271,0.242,0.750
0.435,-0.214,1.000
0.325,-0.286,1.000
-0.066,-0.138,0.500
-0.242,0.167,0.750
0.070,0.440,1.000
-0.441,0.054,1.000
0.136,-0.438,1.000
0.393,0.115,0.750
0.175,0.319,0.750
0.040,0.206,0.500
-0.433,0.100,1.000
0.266,-0.295,0.750
0.150,-0.029,0.500
0.333,0.171,0.750
-0.496,0.050,1.000
